Magdalena Roach,Huntsville,AL,(219) 250-2642,9072 S. Cactus Road 
Frederic Moreno,Enterprise,AL,(810) 233-5178,6 Orange St. 
Barton Parsons,Glendale,AZ,(676) 641-0395,7314 Arch St. 
Justin Nelson,Encino,CA,(354) 435-0598,275 Maiden Street 
Reggie Rojas,Glendora,CA,(511) 934-5896,8949 N. Myrtle Ave. 
Jc Gould,Ontario,CA,(510) 322-2536,306 Prairie Dr. 
Ben Jennings,Bakersfield,CA,(612) 691-4176,7270 San Pablo Drive 
Carlo Cherry,San Lorenzo,CA,(361) 234-0728,16 Glendale St. 
Polly Moran,Santa Clara,CA,(365) 462-1025,889 Bay Meadows Drive 
Malcom Ward,Norwich,CT,(424) 710-3597,519 Smith Avenue 
Cliff Schmidt,Bridgeport,CT,(829) 457-6238,7913 Hartford St. 
Erma Mckenzie,Torrington,CT,(498) 690-5982,8743 Smith Dr. 
Eugene Cox,Bear,DE,(247) 917-3445,10 Illinois Rd. 
Jeannine Brewer,Port Orange,FL,(839) 981-1275,7149 Prairie Drive 
Dante Hayes,Casselberry,FL,(303) 959-7765,8976 Canterbury St. 
Nannie Marks,Winter Springs,FL,(207) 211-6582,7988 Indian Spring St. 
Adan Salas,Longwood,FL,(575) 634-5057,3 3rd St. 
Amelia Nguyen,Melbourne,FL,(964) 803-7305,8 North Catherine Lane 
Sandra Escobar,Sebastian,FL,(774) 432-3476,7 S. Amherst Ave. 
Santos Levine,Pompano Beach,FL,(844) 779-9948,42 8th Street 
Tommie Meyer,West Palm Beach,FL,(650) 667-0702,507 East Stonybrook Ave. 
Alexandria Quinn,Haines City,FL,(995) 487-0243,8431 Victoria Drive 
Reuben Garza,Bradenton,FL,(730) 627-0493,8248 Jones St. 
Patsy Joyce,Palmetto,FL,(249) 628-7874,7339 SW. Cactus Street 
Grace Douglas,Palm Harbor,FL,(933) 498-5517,8598 Shub Farm Ave. 
Enid Wiggins,Winter Garden,FL,(474) 646-1991,96 2nd Lane 
Aron Murillo,Stuart,FL,(654) 734-4823,5A Hamilton Drive 
Margery Wade,Lawrenceville,GA,(283) 898-0416,9852 Ramblewood Avenue 
Chauncey Benton,Smyrna,GA,(593) 762-4481,9778 Wall Rd. 
Travis Riddle,Tucker,GA,(828) 459-6171,41 Roosevelt Lane 
Harland Watts,Carrollton,GA,(469) 973-5293,8 Cross Street 
Ricardo Fernandez,Mableton,GA,(732) 342-4063,9600 John Dr. 
Joanna Blevins,Riverdale,GA,(538) 282-3784,931 Gainsway St. 
Erasmo Flynn,Stockbridge,GA,(768) 754-0263,7533 Cherry Hill Court 
Ferdinand Beasley,Ellenwood,GA,(463) 385-0557,716 Rockville Drive 
Eloise Garrison,Athens,GA,(402) 673-4389,1 East Miles Dr. 
Debra Herring,Calhoun,GA,(474) 630-0831,7915 South Country Club Dr. 
Ines Zamora,Mason City,IA,(236) 714-3990,35 Miller Dr. 
Celia Osborn,Cedar Falls,IA,(639) 948-9054,9150 High Street 
Tammie Blackwell,Waterloo,IA,(237) 953-8062,730 Birchpond St. 
Christie Benjamin,Elk Grove Village,IL,(762) 495-3921,245 Jackson Lane 
Francisco Meyers,Des Plaines,IL,(759) 735-5526,41 Hilltop Avenue 
Tyson Wolf,Park Ridge,IL,(216) 944-9938,414 Pleasant Ave. 
Emilia Donaldson,Skokie,IL,(954) 917-4133,25 Leatherwood St. 
Diana Ayers,Dekalb,IL,(837) 567-7594,8596 Hanover Street 
Tabatha Swanson,Hoffman Estates,IL,(610) 569-6051,8068 N. Chestnut St. 
Alberta Mullen,Villa Park,IL,(757) 442-2476,841 South Grove Ave. 
Marisa Vazquez,Calumet City,IL,(993) 483-9974,58 N. Saxton Ave. 
Curt Paul,Chicago Heights,IL,(787) 965-8300,9584 Lexington Street 
Lon Hutchinson,Joliet,IL,(840) 945-9764,11 Creek Avenue 
Marc Norman,Orland Park,IL,(238) 767-7151,72 SE. Charles Street 
Cameron Costa,Downers Grove,IL,(467) 837-3957,639 Nicolls St. 
Jerrell Bowman,Noblesville,IN,(479) 557-2683,810 Fawn Rd. 
Karina Oconnor,Zionsville,IN,(743) 491-4892,9008 Sunset Lane 
Mohamed Munoz,Chesterton,IN,(926) 907-4870,8118 Columbia Court 
Dwain Carlson,Portage,IN,(202) 352-5286,92 York Court 
Tania French,Elkhart,IN,(382) 803-2192,2 West Lake St. 
Marco Poole,Mishawaka,IN,(315) 531-6563,319 Woodland Street 
Jenna Austin,Seymour,IN,(312) 473-7641,8044 E. Mayflower Rd. 
Abel Francis,Muncie,IN,(838) 408-5762,8315 Helen St. 
Cruz Sanford,Emporia,KS,(352) 737-0959,204 Santa Clara St. 
Esteban Boyle,Paducah,KY,(720) 315-9197,44 Front Drive 
Olga Grant,Madisonville,KY,(343) 293-7592,278 Westport Rd. 
Johnnie Shepard,Andover,MA,(609) 629-5616,8409 Marvon Street 
Rosemary Rowe,Dracut,MA,(542) 570-1700,7968 Strawberry Drive 
Keneth Lawrence,North Andover,MA,(219) 981-5475,10 Bayberry Ave. 
Summer Oneal,Beverly,MA,(612) 259-7314,9177 4th Drive 
Nicole Bass,Danvers,MA,(604) 492-5259,20 Pin Oak Street 
Audra Daniels,Chelsea,MA,(957) 474-8817,9072 Airport Avenue 
Alonso Harper,Medford,MA,(488) 806-6643,9 Golden Star Dr. 
Harry Lewis,North Attleboro,MA,(454) 487-2661,8111 Vale St. 
Yolanda Velasquez,Laurel,MD,(299) 804-7570,788 Brandywine Ave. 
Millicent Arias,Bowie,MD,(570) 215-9832,241 Monroe Avenue 
Ignacio Rowland,Temple Hills,MD,(364) 202-6904,47 E. Silver Spear Street 
Aubrey Martin,Upper Marlboro,MD,(971) 855-0065,35 Oakwood Ave. 
Fletcher Hammond,Montgomery Village,MD,(424) 599-9673,93 S. Pumpkin Hill Ave. 
Angelica West,Silver Spring,MD,(832) 854-3445,7063 Illinois Ave. 
Willis Griffin,Elkridge,MD,(366) 498-9209,669 W. Cardinal Ave. 
Hazel Evans,Randallstown,MD,(497) 899-2352,197 Sherman Ave. 
Jodie Thompson,Severn,MD,(744) 826-6563,1 East Glen Ridge Street 
Kelley Reese,Baltimore,MD,(397) 219-8016,834 School Street 
Aimee Curtis,Essex,MD,(683) 692-7249,27 Pin Oak St. 
Dorothea Ewing,Dundalk,MD,(857) 486-6287,8361 W. Berkshire Lane 
Earlene Allison,Bangor,ME,(532) 239-0360,7599 Fairview Road 
Rich Duke,Royal Oak,MI,(819) 594-8738,504 Bridge Street 
Keith Mathis,Dearborn Heights,MI,(279) 511-6047,26 Oakwood Street 
Bobbie Owens,Wyandotte,MI,(431) 211-9320,82 Canterbury Rd. 
Armand Glenn,Oak Park,MI,(794) 874-9575,546 Lilac Lane 
Aurelio Hardin,West Bloomfield,MI,(268) 635-8378,9796 Wagon St. 
Tamika Stone,Fenton,MI,(458) 592-7567,9581 N. Water St. 
Jeremiah Hall,Battle Creek,MI,(287) 759-1848,7059 Dunbar Court 
Damian Harmon,Grand Rapids,MI,(310) 897-3396,376 Sunset St. 
Hector Cabrera,Owatonna,MN,(473) 326-2780,5 Southampton Lane 
Alfred Spencer,Anoka,MN,(390) 663-3888,22 Madison St. 
Pablo Flores,Austin,MN,(860) 390-9010,9286 Brookside St. 
Gertrude Buckley,Mankato,MN,(650) 509-3229,7560 Rockledge Rd. 
Maude Lamb,Moorhead,MN,(418) 338-0860,9 Silver Spear Dr. 
Rodolfo Sexton,Tupelo,MS,(787) 497-5541,615 Tarkiln Hill Ave. 
Hassan Turner,Vicksburg,MS,(269) 635-3119,56 Greenrose Ave. 
Molly Parker,Greensboro,NC,(740) 627-3393,4 Tanglewood Street 
Walker James,Cary,NC,(404) 478-3258,376 Carson Ave. 
Haley Holden,Chapel Hill,NC,(792) 461-9557,9876 Pendergast Road 
Odessa Irwin,Fuquay Varina,NC,(337) 316-1537,9499 Bald Hill St. 
Waylon Valenzuela,Wilson,NC,(636) 210-3499,21 Elm Street 
Dewayne Arroyo,Charlotte,NC,(896) 874-9958,69 South Ridgewood Street 
Dallas Murray,Hickory,NC,(502) 335-9503,782 Deerfield St. 
Celeste Luna,Morganton,NC,(617) 561-4622,730 Peachtree Dr. 
Joanne Terrell,West Fargo,ND,(715) 263-1140,19 E. Howard Dr. 
Iva Maldonado,Londonderry,NH,(431) 287-9731,498 Bear Hill Road 
Claire Strickland,Nashua,NH,(458) 247-4040,518 Clinton Lane 
Alvin Best,Cranford,NJ,(298) 808-9724,734 Sleepy Hollow Ave. 
Elaine Kennedy,West Orange,NJ,(993) 971-4783,825 Laurel Circle 
Katelyn Morris,Rahway,NJ,(649) 285-7402,75 Miller Drive 
Misty Harvey,West New York,NJ,(307) 843-1577,514 Charles St. 
Emerson Avery,Newark,NJ,(790) 559-8216,31 Marvon St. 
Edmundo Gamble,Fair Lawn,NJ,(285) 502-5735,281 Green Street 
Lenny Kane,Little Falls,NJ,(592) 659-0297,9343 Main St. 
Gabrielle Hurst,Mahwah,NJ,(599) 919-7404,543 Nicolls Street 
Juana Schroeder,Freehold,NJ,(816) 722-5981,98 Thomas St. 
Jerrold Webster,Cherry Hill,NJ,(677) 863-8781,8857 Atlantic St. 
Carissa Beltran,Sewell,NJ,(267) 309-1713,7205 Summit Dr. 
Jewell Clark,Toms River,NJ,(230) 553-3246,9184 Delaware St. 
Osvaldo Tapia,Flemington,NJ,(307) 352-7169,216 Marconi Drive 
Liza Burgess,Phillipsburg,NJ,(651) 347-4156,8178 County Street 
Paul Trevino,Monsey,NY,(706) 573-9877,82 Rocky River Ave. 
Cordell Hanna,New Hyde Park,NY,(255) 423-5447,9267 Glendale Dr. 
Carmine Cameron,Bayside,NY,(759) 854-1302,852 Old Court Rd. 
Sybil Hawkins,Woodside,NY,(597) 353-0670,980 St Paul St. 
Jarrod Tyler,Maspeth,NY,(429) 693-3183,7774 Glenwood Drive 
Mindy Walter,Saint Albans,NY,(231) 705-5777,921 Peachtree Drive 
Olivia Klein,Howard Beach,NY,(740) 360-9190,715 S. 8th Dr. 
Jonas Neal,South Richmond Hill,NY,(308) 753-3555,454 James Dr. 
Bernice Mcmahon,Jamaica,NY,(645) 623-0295,8494 E. Sheffield St. 
Waldo Holder,Oceanside,NY,(923) 482-3053,56 Randall Mill Ave. 
Odell Mccullough,West Babylon,NY,(354) 932-0446,77 Leatherwood Ave. 
Dannie Anderson,Farmingdale,NY,(566) 659-3944,22 Coffee Rd. 
Alice Young,Huntington Station,NY,(682) 366-7043,9789 Maple Lane 
King Zuniga,New Windsor,NY,(370) 655-4818,82 Military St. 
